MY SKU,SG SKU,Quantity,Discount Code,Brand,Category,Net Price (SGD),Net Price (MYR),Item Tax (SGD),Item Tax (MYR),Shipping Country,Order #,Quantity Ready
,300048162LBL-XS,1,NEW20,rag & bone,TANK TOPS,170.73,170.73,0.0,0.0,Singapore,#C21-107610,0
,300045717BLK-SS,1,,Club21 Collection,SHORTS,185.1,1129.0,0.0,0.0,Hong Kong,#C21-107611,0
,300045843BLK-38,1,,Club21 Collection,SKIRTS,200.68,1224.0,0.0,0.0,Hong Kong,#C21-107611,0
,600071487WHT00S,1,,COMME des GARCONS PLAY,TEES,93.62,571.0,0.0,0.0,Hong Kong,#C21-107611,0
,600070130CHA00M,1,NEW15,We11done,WOVEN DRESSES,366.97,366.97,28.07,28.07,Singapore,#C21-107612,1
,600069561BLK050,1,NEW20,Wooyoungmi,TEES,385.32,385.32,27.74,27.74,Singapore,#C21-107613,1
,300047694IVY-50,1,NEW20,Wooyoungmi,TEES,484.76,484.76,0.0,0.0,Singapore,#C21-107613,0
,600050221WHT0XL,1,,COMME des GARCONS PLAY,SHIRTS,192.16,192.16,23.39,23.39,Switzerland,FF-179595758,1
,600052938WHT00S,1,,COMME des GARCONS PLAY,TEES,81.65,81.65,0.0,0.0,Singapore,#C21-107615,0
,600067466GRY00S,1,,3.1 Phillip Lim,KNIT DRESSES,449.54,449.54,40.46,40.46,Singapore,#C21-107616,0
,600046970PNK044,1,NEW20,Thom Browne,TEES,321.1,321.1,23.12,23.12,Singapore,#C21-107617,1
,600046970GRN040,1,NEW20,Thom Browne,TEES,321.1,321.1,0.0,0.0,Singapore,#C21-107617,1
,600046970PNK040,1,NEW20,Thom Browne,TEES,321.1,321.1,23.12,23.12,Singapore,#C21-107617,1
,600065237WHT00L,1,NEW15,We11done,TEES,224.77,224.77,20.24,20.24,Singapore,#C21-107618,1
,600072224BLK00L,1,NEW15,Represent,TEES,211.01,211.01,16.14,16.14,Singapore,#C21-107618,1
,300048104WHT-LL,1,NEW15,HUMAN MADE,TEES,179.88,179.88,0.0,0.0,Singapore,#C21-107618,0
,300046514YEL-LL,1,NEW15,JACQUEMUS,TEES,190.41,190.41,0.0,0.0,Singapore,#C21-107618,0
,600074539BLK00L,1,NEW15,DOMREBEL,TEES,266.06,266.06,20.35,20.35,Singapore,#C21-107618,1
,600050225BLK00M,1,COMO20,COMME des GARCONS PLAY,TEES,83.29,90000.0,0.0,0.0,South Korea,#C21-107619,1
,300047471WHT-NS,1,NEW15,Mardi Mercredi,TANK TOPS,79.27,79.27,0.0,0.0,Singapore,#C21-107620,0
,300046022BLK-NS,1,NEW15,Mardi Mercredi,SWEATSHIRTS,153.42,153.42,0.0,0.0,Singapore,#C21-107620,0
,600059691WHT003,1,SMILE70,COMME des GARCONS PLAY CONVERSE,SNEAKERS,183.16,197921.0,0.0,0.0,South Korea,#C21-107621,0
,600052956WHT00L,1,,COMME des GARCONS PLAY,TEES,81.65,81.65,7.35,7.35,Singapore,#C21-107622,0
,600050230BLK00L,1,,COMME des GARCONS PLAY,TEES,81.65,81.65,7.35,7.35,Singapore,#C21-107622,0
,600061241CHA0OS,1,HELLO15,Mardi Mercredi,TEES,56.38,186.0,0.0,0.0,Malaysia,#C21-107623,1
,300045848NVY-MM,1,,Club21 Collection,KNIT TOPS,120.43,120.43,0.0,0.0,Singapore,#C21-107624,0
,600067199WHT00S,1,,rag & bone,TEES,119.27,119.27,10.73,10.73,Singapore,#C21-107624,1
,600059830PNK00M,1,,Blackjack,TEES,50.46,50.46,0.0,0.0,Singapore,#C21-107624,0
,600062849WHT0XS,1,,Black Score,TEES,70.0,70.0,0.0,0.0,Georgia,FF-179597505,1
,600063810BLK00L,1,,Alexander Wang,TEES,183.49,183.49,16.51,16.51,Singapore,#C21-107626,1
,600049625GRY00M,1,,COMME des GARCONS PLAY,TEES,100.0,100.0,0.0,0.0,Singapore,#C21-107626,0
,600070959KHA0OS,1,,Mulberry,MEDIUM TOTES,1672.12,73700.0,200.65,8844.0,Philippines,#C21-107627,1
,Giftbox25,1,,Club21.com,,15.88,700.0,0.0,0.0,Philippines,#C21-107627,1
,600073832OWT010,1,NEW20,ALEMAIS,WOVEN TOPS,683.18,738000.0,54.65,59040.0,South Korea,#C21-107628,1
,600059773WHT0OS,1,NEW15,Mardi Mercredi,TEES,56.36,186.0,0.0,0.0,Malaysia,#C21-107629,0
,600067668WHT0OS,1,NEW15,Mardi Mercredi,TEES,60.0,198.0,0.0,0.0,Malaysia,#C21-107629,0
,600062103BLK000,1,,BAO BAO ISSEY MIYAKE,CROSS BODY,250.46,250.46,0.0,0.0,Singapore,#C21-107630,0
,600069975WHT004,1,NEW20,sacai,TEES,461.94,2817.5,0.0,0.0,Hong Kong,#C21-107631,1
,600058772NVY0OS,1,HELLO15,COMME des GARCONS WALLET,COIN POUCHES,121.86,402.0,0.0,0.0,Malaysia,#C21-107632,1
,600050230BLK00S,1,,COMME des GARCONS PLAY,TEES,81.65,81.65,7.35,7.35,Singapore,#C21-107633,0
,600061304LPK003,1,,HOMME PLISSE ISSEY MIYAKE,PLEATED SHIRT,277.98,277.98,0.0,0.0,Singapore,#C21-107634,0
,600066602WHT00S,1,,W/STUDIO,TEES,105.51,105.51,9.5,9.5,Singapore,#C21-107635,0
,600066833FLR00S,1,,ALEMAIS,TEES,200.36,200.36,3.64,3.64,Bahrain,FF-179599198,1
